SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-22-2017,Single Family Residential,2706 LABECCA Ct,Pleasanton,CA,94588,882000,3,2.5,Stoneridge Place,1614,2775,1998,11,546,167,Sold,,,http://www.redfin.com/CA/Pleasanton/2706-Labecca-Ct-94588/home/1204498,EBRD/CCAR/Bay East,40768501,N,Y,37.69256,-121.859294
PAST SALE,February-21-2017,Single Family Residential,2629 TH Ave,Oakland,CA,94605,295000,3,2.0,Oakland,910,2483,1941,12,324,,Sold,,,http://www.redfin.com/CA/Oakland/2629-TH-Ave-94605/home/108466934,EBRD/CCAR/Bay East,40677902,N,Y,37.7554905,-122.1462193
PAST SALE,February-27-2017,Condo/Co-op,555 pierce #709,Albany,CA,94706,470000,1,2.0,Gateview,1040,,1977,6,452,614,Sold,,,http://www.redfin.com/CA/Albany/555-Pierce-St-94706/unit-709/home/112970896,EBRD/CCAR/Bay East,40768292,N,Y,37.8945487,-122.3066101
PAST SALE,February-22-2017,Single Family Residential,3918 Yale Way,Livermore,CA,94550,610000,3,1.0,Jensen Tract,1108,5852,1955,11,551,,Sold,,,http://www.redfin.com/CA/Livermore/3918-Yale-Way-94550/home/1885888,EBRD/CCAR/Bay East,40767100,N,Y,37.6837821,-121.7511093
PAST SALE,February-16-2017,Townhouse,147 Northwood Cmns,Livermore,CA,94551,590000,3,2.5,Northwood,1618,2608,1984,17,365,332,Sold,,,http://www.redfin.com/CA/Livermore/147-Northwood-Commons-94551/home/2015854,EBRD/CCAR/Bay East,40767157,N,Y,37.681326,-121.789247
PAST SALE,February-16-2017,Single Family Residential,1554 Fir Ave,San Leandro,CA,94578,480000,4,2.0,Downtown Area,,6000,1937,17,,,Sold,,,http://www.redfin.com/CA/San-Leandro/1554-Fir-Ave-94578/home/1960524,EBRD/CCAR/Bay East,40765414,N,Y,37.7067344,-122.1261968
PAST SALE,February-28-2017,Single Family Residential,2391 Haile St,Alameda,CA,94501,1050000,4,2.5,Alameda,2361,3124,2006,5,445,145,Sold,,,http://www.redfin.com/CA/Alameda/2391-Haile-St-94501/home/12114529,EBRD/CCAR/Bay East,40767081,N,Y,37.7836571,-122.2833072
PAST SALE,February-22-2017,Single Family Residential,5508 Shorehaven Cir,Livermore,CA,94551,635000,3,2.0,North Livermore,1178,6664,1976,11,539,,Sold,,,http://www.redfin.com/CA/Livermore/5508-Shorehaven-Cir-94551/home/924533,EBRD/CCAR/Bay East,40767804,N,Y,37.7251886,-121.7322953
PAST SALE,March-1-2017,Single Family Residential,1551 Hampel St,Oakland,CA,94602,1160000,3,1.0,Glenview,1701,5600,1928,4,682,,Sold,,,http://www.redfin.com/CA/Oakland/1551-Hampel-St-94602/home/535325,EBRD/CCAR/Bay East,40768340,N,Y,37.8050903,-122.2195558
PAST SALE,February-17-2017,Condo/Co-op,438 W Grand Ave #522,Oakland,CA,94612,810000,2,2.0,Uptown,1388,,2008,16,584,530,Sold,,,http://www.redfin.com/CA/Oakland/438-W-Grand-Ave-94612/unit-522/home/22653391,EBRD/CCAR/Bay East,40758560,N,Y,37.8118317,-122.267668
PAST SALE,February-28-2017,Single Family Residential,8508 Valencia St,Dublin,CA,94568,688000,3,2.0,Dublin,1321,7200,1961,5,521,,Sold,,,http://www.redfin.com/CA/Dublin/8508-Valencia-St-94568/home/1161528,EBRD/CCAR/Bay East,40768123,N,Y,37.719019,-121.93977
PAST SALE,February-20-2017,Townhouse,7642 Arbor Creek Cir,Dublin,CA,94568,630000,3,2.5,Arbor Creek,1200,2101,1986,13,525,225,Sold,,,http://www.redfin.com/CA/Dublin/7642-Arbor-Creek-Cir-94568/home/1529791,EBRD/CCAR/Bay East,40767347,N,Y,37.707268,-121.938151
PAST SALE,February-17-2017,Single Family Residential,923 Arguello Dr,San Leandro,CA,94578,585000,3,1.0,Floresta,1114,5700,1954,16,525,,Sold,,,http://www.redfin.com/CA/San-Leandro/923-Arguello-Dr-94578/home/714911,EBRD/CCAR/Bay East,40768854,N,Y,37.700986,-122.149794
PAST SALE,February-28-2017,Single Family Residential,316 Selby Ln,Livermore,CA,94551,730000,3,3.0,Livermore,1603,1815,2014,5,455,150,Sold,,,http://www.redfin.com/CA/Livermore/316-Selby-Ln-94551/home/22656760,EBRD/CCAR/Bay East,40768381,N,Y,37.7089186,-121.8009243
PAST SALE,February-7-2017,Single Family Residential,7835 Ridgeline Pl,Dublin,CA,94568,1450000,5,4.5,Schaefer Ranch,4184,8587,2011,26,347,108,Sold,,,http://www.redfin.com/CA/Dublin/7835-Ridgeline-Pl-94568/home/17184085,EBRD/CCAR/Bay East,40766709,N,Y,37.7061009,-121.973001
PAST SALE,February-28-2017,Single Family Residential,1887 Tunnel Rd,Berkeley,CA,94705,1788000,4,3.5,Claremont Hills,,6175,2017,5,,,Sold,,,http://www.redfin.com/CA/Berkeley/1887-Tunnel-Rd-94705/home/22694631,EBRD/CCAR/Bay East,40767296,N,Y,37.858295,-122.222454
PAST SALE,,Townhouse,6544 Bantry Bay St,Dublin,CA,94568,833000,4,3.0,,2372,,2013,,351,,,,,http://www.redfin.com/CA/Dublin/6544-Bantry-Bay-St-94568/home/57180380,,,N,Y,37.7055805,-121.9113314
PAST SALE,February-8-2017,Condo/Co-op,6211 Telegraph Ave #4,Oakland,CA,94609,474000,2,1.5,Berkeley Border,933,,1985,25,508,295,Sold,,,http://www.redfin.com/CA/Oakland/6211-Telegraph-Ave-94609/unit-4/home/531475,EBRD/CCAR/Bay East,40756519,N,Y,37.848145,-122.261158
PAST SALE,,Condo/Co-op,200 Lakeside Dr Apt 504,Oakland,CA,94612,1305000,2,2.0,,1585,,1924,,823,,,,,http://www.redfin.com/CA/Oakland/200-Lakeside-Dr-94612/unit-504/home/1880014,,,N,Y,37.805871,-122.2632129
PAST SALE,February-8-2017,Single Family Residential,3996 Stanford Way,Livermore,CA,94550,551000,3,1.0,Jensen,951,5196,1954,25,579,,Sold,,,http://www.redfin.com/CA/Livermore/3996-Stanford-Way-94550/home/1178310,EBRD/CCAR/Bay East,40767793,N,Y,37.683017,-121.748628
PAST SALE,,Multi-Family (2-4 Unit),2536 Grove Way,Hayward,CA,94546,1415000,10,7.0,,3379,6012,1964,,419,,,,,http://www.redfin.com/CA/Hayward/2536-Grove-Way-94546/home/1634236,,,N,Y,37.6862179,-122.070515
PAST SALE,February-8-2017,Multi-Family (2-4 Unit),925 E 11Th St,Oakland,CA,94606,680000,7,4.0,Oakland,2265,6750,1897,25,300,,Sold,,,http://www.redfin.com/CA/Oakland/925-E-11th-St-94606/home/1397925,EBRD/CCAR/Bay East,40761947,N,Y,37.790945,-122.252326
PAST SALE,,Vacant Land,23830 Saklan Rd,Hayward,CA,94545,721500,,,,,1806,,,,,,,,http://www.redfin.com/CA/Hayward/23830-Saklan-Rd-94545/home/112886668,,,N,Y,37.647328,-122.11769
PAST SALE,February-8-2017,Townhouse,2354 Claridge Pl,San Leandro,CA,94577,492000,3,3.0,Sandpiper,1659,2148,1977,25,297,337,Sold,,,http://www.redfin.com/CA/San-Leandro/2354-Claridge-Pl-94577/home/1804732,EBRD/CCAR/Bay East,40761875,N,Y,37.7169915,-122.1479107
PAST SALE,February-8-2017,Condo/Co-op,25850 Kay Ave #124,Hayward,CA,94545,275000,1,1.0,Hayward,748,,1989,25,368,415,Sold,,,http://www.redfin.com/CA/Hayward/25850-Kay-Ave-94545/unit-124/home/1316357,EBRD/CCAR/Bay East,40764940,N,Y,37.6411484,-122.0973974
PAST SALE,February-7-2017,Single Family Residential,5506 Springvale Dr,Dublin,CA,94568,1087000,4,3.0,Dublin Ranch,2600,3511,2000,26,418,120,Sold,,,http://www.redfin.com/CA/Dublin/5506-Springvale-Dr-94568/home/1374181,EBRD/CCAR/Bay East,40766302,N,Y,37.717596,-121.871083
PAST SALE,February-8-2017,Single Family Residential,131 Nadine St,Livermore,CA,94550,690000,4,2.0,Sunset West,1554,7873,1971,25,444,,Sold,,,http://www.redfin.com/CA/Livermore/131-Nadine-St-94550/home/1885092,EBRD/CCAR/Bay East,40765845,N,Y,37.676243,-121.793669
PAST SALE,February-17-2017,Single Family Residential,1308 9th St,Alameda,CA,94501-3954,680000,2,1.0,Alameda,1228,3000,1900,16,554,,Sold,,,http://www.redfin.com/CA/Alameda/1308-9th-St-94501/home/1360165,EBRD/CCAR/Bay East,40768276,N,Y,37.7706609,-122.27028
PAST SALE,February-17-2017,Single Family Residential,1057 Island Dr,Alameda,CA,94502,840000,3,2.0,Bay Farm,1260,5000,1965,16,667,,Sold,,,http://www.redfin.com/CA/Alameda/1057-Island-Dr-94502/home/735500,EBRD/CCAR/Bay East,40766799,N,Y,37.7338876,-122.2416381
PAST SALE,February-17-2017,Condo/Co-op,6400 Christie #5421,Emeryville,CA,94608,620000,2,2.0,Emeryville,,,1988,16,,399,Sold,,,http://www.redfin.com/CA/Emeryville/6400-Christie-Ave-94608/unit-5421/home/1656527,EBRD/CCAR/Bay East,40770693,N,Y,37.845051,-122.295366
PAST SALE,February-17-2017,Single Family Residential,1300 Benedict Dr,San Leandro,CA,94577,878000,5,4.5,Bay O Vista,3727,6970,1939,16,236,,Sold,,,http://www.redfin.com/CA/San-Leandro/1300-Benedict-Dr-94577/home/1369779,EBRD/CCAR/Bay East,40761606,N,Y,37.7297326,-122.1377412
PAST SALE,February-27-2017,Single Family Residential,4645 Black Ave,Pleasanton,CA,94566,1015000,3,3.5,Pleasanton Vally,2277,7150,1966,6,446,,Sold,,,http://www.redfin.com/CA/Pleasanton/4645-Black-Ave-94566/home/2012808,EBRD/CCAR/Bay East,40770938,N,Y,37.6724524,-121.8795259
PAST SALE,February-14-2017,Condo/Co-op,7765 Canyon Meadow Cir Unit E,Pleasanton,CA,94588,515000,2,2.0,Canyon Meadows,1043,,1991,19,494,445,Sold,,,http://www.redfin.com/CA/Pleasanton/7765-Canyon-Meadows-Cir-94588/unit-E/home/103460359,EBRD/CCAR/Bay East,40767115,N,Y,37.6972662,-121.9509462
PAST SALE,March-1-2017,Townhouse,18 Starview Dr,Oakland,CA,94618,1175000,2,3.0,Hiller Highlands,2252,2464,1994,4,522,186,Sold,,,http://www.redfin.com/CA/Oakland/18-Starview-Dr-94618/home/626561,EBRD/CCAR/Bay East,40768160,N,Y,37.852148,-122.2282263
PAST SALE,February-28-2017,Single Family Residential,421 Wall Ct,Livermore,CA,94550,676000,3,2.0,Sunset West,1136,9587,1964,5,595,,Sold,,,http://www.redfin.com/CA/Livermore/421-Wall-Ct-94550/home/1822259,EBRD/CCAR/Bay East,40768331,N,Y,37.6723171,-121.7908059
PAST SALE,February-22-2017,Townhouse,688 Mesa Cir,Hayward,CA,94541,566000,3,3.0,Hayward,1434,1692,2003,11,395,195,Sold,,,http://www.redfin.com/CA/Hayward/688-Mesa-Cir-94541/home/1539901,EBRD/CCAR/Bay East,40767685,N,Y,37.6669062,-122.0853368
PAST SALE,February-23-2017,Condo/Co-op,1409 Pullman,Oakland,CA,94607,702855,2,2.5,West Oak,1644,,2016,10,428,240,Sold,,,http://www.redfin.com/CA/Oakland/1409-Pullman-94607/home/106094566,EBRD/CCAR/Bay East,40743265,N,Y,37.8134679,-122.307917
PAST SALE,February-16-2017,Condo/Co-op,7670 Canyon Meadow Cir Unit D,Pleasanton,CA,94588,412000,1,1.0,Canyon Meadows,790,,1991,17,522,374,Sold,,,http://www.redfin.com/CA/Pleasanton/7670-Canyon-Meadows-Cir-94588/unit-D/home/1985432,EBRD/CCAR/Bay East,40767890,N,Y,37.697368,-121.9481943
PAST SALE,February-13-2017,Single Family Residential,4918 Sutter Gate Ave,Pleasanton,CA,94566,1100000,4,2.5,The Gates,2125,8200,1976,20,518,,Sold,,,http://www.redfin.com/CA/Pleasanton/4918-Sutter-Gate-Ave-94566/home/1530686,EBRD/CCAR/Bay East,40767847,N,Y,37.685983,-121.885948
PAST SALE,February-23-2017,Single Family Residential,981 Hollice Ln,Livermore,CA,94550,801000,4,2.5,Windmill Srpings,2055,5500,1996,10,390,,Sold,,,http://www.redfin.com/CA/Livermore/981-Hollice-Ln-94550/home/919963,EBRD/CCAR/Bay East,40767760,N,Y,37.685318,-121.733378
PAST SALE,February-13-2017,Single Family Residential,3588 Germaine Way,Livermore,CA,94550,650000,3,1.0,Jensen Tract,1038,5167,1953,20,626,,Sold,,,http://www.redfin.com/CA/Livermore/3588-Germaine-Way-94550/home/1131177,EBRD/CCAR/Bay East,40768328,N,Y,37.685014,-121.7572043
PAST SALE,February-22-2017,Single Family Residential,9012 PALMERA Ct,Oakland,CA,94603,370000,4,3.0,East Oakland,1373,3006,2002,11,269,70,Sold,,,http://www.redfin.com/CA/Oakland/9012-Palmera-Ct-94603/home/1214473,EBRD/CCAR/Bay East,40758660,N,Y,37.7552362,-122.1614704
PAST SALE,,Single Family Residential,2985 Barrett St,OAKLAND,CA,94605,,2,1.0,,986,4321,1941,,,,Sold,,,http://www.redfin.com/CA/Oakland/2985-Barrett-St-94605/home/1341766,MLSListings,,N,Y,37.744986,-122.146289
PAST SALE,February-23-2017,Single Family Residential,1701 78Th Ave,Oakland,CA,94621,338000,2,1.0,East Oakland,1023,3450,1928,10,330,,Sold,,,http://www.redfin.com/CA/Oakland/1701-78th-Ave-94621/home/1547156,EBRD/CCAR/Bay East,40763110,N,Y,37.760793,-122.17885
PAST SALE,February-16-2017,Single Family Residential,5056 Woodthrush Rd,Pleasanton,CA,94566,1334000,4,2.0,Birdland,2167,7665,1968,17,616,,Sold,,,http://www.redfin.com/CA/Pleasanton/5056-Woodthrush-Rd-94566/home/1194741,EBRD/CCAR/Bay East,40767863,N,Y,37.680639,-121.885109
PAST SALE,February-24-2017,Single Family Residential,6822 Siesta Ct,Pleasanton,CA,94588,880000,3,2.0,Val Vista,1560,6565,1971,9,564,,Sold,,,http://www.redfin.com/CA/Pleasanton/6822-Siesta-Ct-94588/home/1173777,EBRD/CCAR/Bay East,40767927,N,Y,37.6806796,-121.9127702
PAST SALE,February-22-2017,Condo/Co-op,3641 Dublin Blvd,Dublin,CA,94568,565000,2,2.5,Dublin Ranch Vlg,1428,,2004,11,396,260,Sold,,,http://www.redfin.com/CA/Dublin/3641-Dublin-Blvd-94568/home/1507004,EBRD/CCAR/Bay East,40767351,N,Y,37.705861,-121.866745
PAST SALE,February-28-2017,Single Family Residential,25 Rydal Ct,Oakland,CA,94611,1325000,3,3.0,Piedmont Pines,2156,9576,1954,5,615,,Sold,,,http://www.redfin.com/CA/Oakland/25-Rydal-Ct-94611/home/692395,EBRD/CCAR/Bay East,40767920,N,Y,37.827621,-122.194832
PAST SALE,February-28-2017,Condo/Co-op,8055 Mountain View Dr Unit D,Pleasanton,CA,94588-4745,520000,2,2.0,Canyon Meadows,1043,,1991,5,499,445,Sold,,,http://www.redfin.com/CA/Pleasanton/8055-Mountain-View-Dr-94588/unit-D/home/1923239,EBRD/CCAR/Bay East,40768372,N,Y,37.6969192,-121.9484558
PAST SALE,February-7-2017,Single Family Residential,500 23rd Ave,Oakland,CA,94606,390000,2,1.0,Oakland,,2950,1916,26,,,Sold,,,http://www.redfin.com/CA/Oakland/500-23rd-Ave-94606/home/1140633,San Francisco MLS,454402,N,Y,37.7748372,-122.2359077
PAST SALE,February-22-2017,Single Family Residential,2772 CHELSEA Dr,Oakland,CA,94611,975000,2,2.0,Piedmont Pines,1260,18070,1947,11,774,,Sold,,,http://www.redfin.com/CA/Oakland/2772-Chelsea-Dr-94611/home/22805953,EBRD/CCAR/Bay East,40767196,N,Y,37.825719,-122.19152
PAST SALE,February-7-2017,Single Family Residential,2817 99TH Ave,Oakland,CA,94605,365000,2,2.0,Oakland Zoo,1487,6150,1941,26,245,,Sold,,,http://www.redfin.com/CA/Oakland/2817-99th-Ave-94605/home/1096834,EBRD/CCAR/Bay East,40751370,N,Y,37.74901,-122.152083
PAST SALE,,Vacant Land,340 29th Ave,Oakland,CA,94601,443000,,2.0,,3109,25665,1969,,142,,,,,http://www.redfin.com/CA/Oakland/340-29th-Ave-94601/home/40628544,,,N,Y,37.772336,-122.235463
PAST SALE,,Vacant Land,199 Filbert St,Hayward,CA,94541,682000,,,,,6496,,,,,,,,http://www.redfin.com/CA/Hayward/199-Filbert-St-94541/home/112886815,,,N,Y,37.664508,-122.094176
PAST SALE,February-23-2017,Townhouse,10734 Dulsie Ln,Dublin,CA,94568,585000,2,2.0,Highlands,1103,,1996,10,530,325,Sold,,,http://www.redfin.com/CA/Dublin/10734-Dulsie-Ln-94568/home/40449693,EBRD/CCAR/Bay East,40767615,N,Y,37.7003077,-121.9573616
PAST SALE,February-22-2017,Single Family Residential,1502 5Th St,Berkeley,CA,94710,815000,2,1.0,West Berkeley,1150,2700,1904,11,709,,Sold,,,http://www.redfin.com/CA/Berkeley/1502-Fifth-St-94710/home/2045415,EBRD/CCAR/Bay East,40767814,N,Y,37.8747982,-122.3012217
PAST SALE,February-28-2017,Single Family Residential,13905 Rose Dr,San Leandro,CA,94578,515000,3,1.0,Lower Bal,1016,7200,1942,5,507,,Sold,,,http://www.redfin.com/CA/San-Leandro/13905-Rose-Dr-94578/home/782127,EBRD/CCAR/Bay East,40767985,N,Y,37.7113989,-122.1422434
PAST SALE,February-27-2017,Single Family Residential,21614 Banyan St,Hayward,CA,94541,625000,4,2.0,Cherryland,1788,16344,1922,6,350,,Sold,,,http://www.redfin.com/CA/Hayward/21614-Banyan-St-94541/home/976710,EBRD/CCAR/Bay East,40761929,N,Y,37.67494,-122.103943
PAST SALE,February-24-2017,Single Family Residential,160 Elvira St,Livermore,CA,94550,625000,4,2.0,Carlton Square,1670,6500,1966,9,374,,Sold,,,http://www.redfin.com/CA/Livermore/160-Elvira-St-94550/home/755715,EBRD/CCAR/Bay East,40768184,N,Y,37.675819,-121.797849
PAST SALE,February-14-2017,Single Family Residential,1443 Bockman Rd,San Lorenzo,CA,94580,520000,3,1.0,San Lorenzo Vilg,1339,7521,1951,19,388,10,Sold,,,http://www.redfin.com/CA/San-Lorenzo/1443-Bockman-Rd-94580/home/933554,EBRD/CCAR/Bay East,40767743,N,Y,37.670259,-122.136385
PAST SALE,,Unknown,340 29th Ave Unit 307,Oakland,CA,94601,561000,,,,,,,,,,,,,http://www.redfin.com/CA/Oakland/340-29th-Ave-94601/unit-307/home/113254548,,,N,Y,37.772336,-122.235463
PAST SALE,February-17-2017,Condo/Co-op,30 Leighty,Hayward,CA,94541-1975,320500,2,2.0,Cherryland,864,22745,1992,16,371,175,Sold,,,http://www.redfin.com/CA/Hayward/30-Leighty-Ct-94541/unit-3/home/1812839,EBRD/CCAR/Bay East,40769341,N,Y,37.6773972,-122.111549
PAST SALE,February-28-2017,Single Family Residential,1216 Peralta Ave,Berkeley,CA,94706,852000,4,2.0,Berkeley/Albany,1411,4025,1923,5,604,,Sold,,,http://www.redfin.com/CA/Berkeley/1216-Peralta-Ave-94706/home/1467339,San Francisco MLS,453721,N,Y,37.8819299,-122.287692
PAST SALE,February-23-2017,Condo/Co-op,8783 MOUNTAIN Blvd #7,Oakland,CA,94605,399000,2,2.0,Oak Knoll Hgts,1140,,1982,10,350,400,Sold,,,http://www.redfin.com/CA/Oakland/8783-Mountain-Blvd-94605/unit-7/home/1525007,EBRD/CCAR/Bay East,40764819,N,Y,37.764006,-122.149865
PAST SALE,February-23-2017,Single Family Residential,8126 Locust Pl,Dublin,CA,94568,730000,4,2.5,Parkway Terrace,1780,3547,1984,10,410,44,Sold,,,http://www.redfin.com/CA/Dublin/8126-Locust-Pl-S-94568/home/1173886,EBRD/CCAR/Bay East,40765974,N,Y,37.722807,-121.925459
PAST SALE,February-23-2017,Single Family Residential,116 ARUNDEL Dr,Hayward,CA,94542,1085000,4,3.0,Stonebrae Country Club,3601,8611,2011,10,301,220,Sold,,,http://www.redfin.com/CA/Hayward/116-Arundel-Dr-94542/home/22807760,EBRD/CCAR/Bay East,40768601,N,Y,37.654992,-122.01609
PAST SALE,February-23-2017,Single Family Residential,6415 Benvenue Ave,Oakland,CA,94618,1560000,3,1.5,Rockridge,1596,6500,1916,10,977,,Sold,,,http://www.redfin.com/CA/Oakland/6415-Benvenue-Ave-94618/home/531409,EBRD/CCAR/Bay East,40767691,N,Y,37.851518,-122.253829
PAST SALE,February-23-2017,Single Family Residential,6757 Snake Rd,Oakland,CA,94611,1909000,5,3.5,Montclaire,3536,9911,2016,10,540,,Sold,,,http://www.redfin.com/CA/Oakland/6757-Snake-Rd-94611/home/22689045,EBRD/CCAR/Bay East,40767177,N,Y,37.835108,-122.20276
PAST SALE,February-28-2017,Single Family Residential,2142 Minnie St,Hayward,CA,94541,650000,3,2.0,Fairview,1169,5162,1957,5,556,,Sold,,,http://www.redfin.com/CA/Hayward/2142-Minnie-St-94541/home/1662541,EBRD/CCAR/Bay East,40768188,N,Y,37.668852,-122.057752
PAST SALE,February-23-2017,Condo/Co-op,11849 Newbridge Way,Dublin,CA,94568,530000,2,2.0,Kildara,1000,,1991,10,530,350,Sold,,,http://www.redfin.com/CA/Dublin/11849-Newbridge-Way-94568/unit-149/home/1960778,EBRD/CCAR/Bay East,40767756,N,Y,37.703633,-121.938847
PAST SALE,,Single Family Residential,479 Clifton St,Oakland,CA,94618,900000,2,1.0,,1040,3600,1890,,865,,,,,http://www.redfin.com/CA/Oakland/479-Clifton-St-94618/home/1986418,,,N,Y,37.840288,-122.258012
PAST SALE,February-6-2017,Townhouse,4133 Clarinbridge Cir,Dublin,CA,94568,564000,2,2.5,Dublin Ranch Vlg,1428,,2004,27,395,260,Sold,,,http://www.redfin.com/CA/Dublin/4133-Clarinbridge-Cir-94568/home/535073,EBRD/CCAR/Bay East,40766730,N,Y,37.7061567,-121.8680339
PAST SALE,February-22-2017,Single Family Residential,14792 Crosby St,San Leandro,CA,94579,610000,3,2.0,Manor,1148,5035,1956,11,531,,Sold,,,http://www.redfin.com/CA/San-Leandro/14792-Crosby-St-94579/home/1721235,EBRD/CCAR/Bay East,40767851,N,Y,37.6970607,-122.147974
PAST SALE,February-27-2017,Single Family Residential,1061 66th St,Oakland,CA,94608,881000,2,1.0,Nobe,1021,4400,1925,6,863,,Sold,,,http://www.redfin.com/CA/Oakland/1061-66th-St-94608/home/1606391,EBRD/CCAR/Bay East,40769608,N,Y,37.849082,-122.283206
PAST SALE,February-22-2017,Single Family Residential,1791 Arrowhead Dr,Oakland,CA,94611,1120000,3,3.0,Montclair,2191,5850,1966,11,511,,Sold,,,http://www.redfin.com/CA/Oakland/1791-Arrowhead-Dr-94611/home/1418304,EBRD/CCAR/Bay East,40768004,N,Y,37.8383309,-122.194936
PAST SALE,February-28-2017,Townhouse,1075 Mangrove Ln,Alameda,CA,94502,726000,3,2.5,Bay Farm,1642,1738,1975,5,442,480,Sold,,,http://www.redfin.com/CA/Alameda/1075-Mangrove-Ln-94502/home/1761074,EBRD/CCAR/Bay East,40768341,N,Y,37.7306791,-122.2350176
PAST SALE,February-23-2017,Single Family Residential,1359 Excelsior Ave,Oakland,CA,94602,752000,2,2.0,Glenview,1085,2541,1905,10,693,,Sold,,,http://www.redfin.com/CA/Oakland/1359-Excelsior-Ave-94602/home/1495598,EBRD/CCAR/Bay East,40768019,N,Y,37.8027732,-122.2290496
PAST SALE,February-24-2017,Single Family Residential,2035 46Th Ave,Oakland,CA,94601,499000,3,2.0,High Street,1104,4800,1922,9,452,,Sold,,,http://www.redfin.com/CA/Oakland/2035-46th-Ave-94601/home/1417532,EBRD/CCAR/Bay East,40761814,N,Y,37.775489,-122.20853
PAST SALE,,Multi-Family (2-4 Unit),57 Thornton St,San Leandro,CA,94577,26727273,42,42.0,,24332,14700,1969,,1098,,,,,http://www.redfin.com/CA/San-Leandro/57-Thornton-St-94577/home/763652,,,N,Y,37.721368,-122.152293
PAST SALE,February-10-2017,Vacant Land,0 MOUNTAIN Blvd,Oakland,CA,94619,24000,,,Oakland,,9452,,23,,,Sold,,,http://www.redfin.com/CA/Oakland/Mountain-Blvd-94619/home/22689310,EBRD/CCAR/Bay East,40732361,N,Y,37.792972,-122.179013
PAST SALE,,Single Family Residential,3025 Totterdell St,Oakland,CA,94611,830000,4,2.0,,2319,5891,1957,,358,,,,,http://www.redfin.com/CA/Oakland/3025-Totterdell-St-94611/home/1903236,,,N,Y,37.8222669,-122.187947
PAST SALE,,Vacant Land,Fallon Rd,Dublin,CA,94568,850500,,,,,20133,,,,,,,,http://www.redfin.com/CA/Dublin/Fallon-Rd-94568/home/95474655,,,N,Y,37.710202,-121.844324
PAST SALE,February-23-2017,Single Family Residential,150 Bell Ave,Piedmont,CA,94611,1700000,2,3.0,Piedmont,2345,5032,1949,10,725,,Sold,,,http://www.redfin.com/CA/Piedmont/150-Bell-Ave-94611/home/1343096,EBRD/CCAR/Bay East,40768027,N,Y,37.8276232,-122.2256227
PAST SALE,February-10-2017,Single Family Residential,3314 Arbor Dr,Pleasanton,CA,94566,1363000,5,3.0,Vintage Hills Ii,2815,9121,1988,23,484,140,Sold,,,http://www.redfin.com/CA/Pleasanton/3314-Arbor-Dr-94566/home/1338857,EBRD/CCAR/Bay East,40768451,N,Y,37.6567889,-121.8495782
PAST SALE,March-1-2017,Single Family Residential,1415 Tulip Way,Livermore,CA,94551,585000,2,2.0,Springtown,1280,6112,1963,4,457,32,Sold,,,http://www.redfin.com/CA/Livermore/1415-Tulip-Way-94551/home/1524303,EBRD/CCAR/Bay East,40768888,N,Y,37.710966,-121.739014
PAST SALE,February-28-2017,Single Family Residential,641 Jackson Ave,Livermore,CA,94550,740000,4,3.0,Jensen Tract,2258,6914,1962,5,328,,Sold,,,http://www.redfin.com/CA/Livermore/641-Jackson-Ave-94550/home/906820,EBRD/CCAR/Bay East,40768873,N,Y,37.684206,-121.742857
PAST SALE,February-28-2017,Single Family Residential,4065 Bothrin St,Dublin,CA,94568,1004880,4,3.0,Dublin,2214,2989,2017,5,454,148,Sold,,,http://www.redfin.com/CA/Dublin/4065-Bothrin-St-94568/home/109457822,EBRD/CCAR/Bay East,40762436,N,Y,37.7096,-121.855
